17:27:16.621 main - 3. create table author (id bigint not null auto_increment, name varchar(80) not null, primary 
key (id))  {executed in 23 ms}
17:27:19.218 main - 6. insert into author (name) values ('zmt')  {executed in 1 ms}
17:27:19.218 main - 6. getGeneratedKeys on query: insert into author (name) values ('zmt')  {executed in 0 ms}
17:27:19.272 main - 6. insert into book (author_id, book_name) values (1, 'oo')  {executed in 1 ms}
17:27:19.272 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (1, 'oo')  {executed in 0 ms}
17:27:19.274 main - 6. insert into book (author_id, book_name) values (0, NULL)  {executed in 0 ms}
17:27:19.275 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (0, NULL)  {executed in 0 ms}
17:27:19.277 main - 6. insert into book (author_id, book_name) values (0, NULL)  {executed in 1 ms}
17:27:19.277 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (0, NULL)  {executed in 0 ms}
17:28:46.545 main - 6. insert into author (name) values ('zmt')  {executed in 1 ms}
17:28:46.548 main - 6. getGeneratedKeys on query: insert into author (name) values ('zmt')  {executed in 0 ms}
17:28:46.574 main - 6. insert into book (author_id, book_name) values (2, 'oo')  {executed in 0 ms}
17:28:46.575 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (2, 'oo')  {executed in 1 ms}
17:28:46.582 main - 6. insert into book (author_id, book_name) values (0, NULL)  {executed in 1 ms}
17:28:46.582 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (0, NULL)  {executed in 0 ms}
17:28:46.592 main - 6. insert into book (author_id, book_name) values (0, NULL)  {executed in 3 ms}
17:28:46.593 main - 6. getGeneratedKeys on query: insert into book (author_id, book_name) values (0, NULL)  {executed in 1 ms}
17:31:20.106 main - 6. insert into author (name) values ('zmt')  {executed in 2 ms}
17:31:20.109 main - 6. getGeneratedKeys on query: insert into author (name) values ('zmt')  {executed in 1 ms}
17:31:20.133 main - 6. insert into book (author_id, book_name) values (3, 'black world')  {executed in 0 ms}
